maxLoad_median 4239.100000
#k	load	thr_r1	lat_r1	thr_r2	lat_r2	thr_r3	lat_r3	thr_median	lat_median	thr_avg	lat_avg
0	423.910000	420.500000	7.860500	420.900000	7.814100	425.100000	7.672400	420.900000	7.814100	422.166667	7.782333
1	1318.831111	1306.400000	8.650800	1313.300000	8.302300	1303.900000	7.858600	1306.400000	8.302300	1307.866667	8.270567
2	2213.752222	2185.200000	8.467900	2179.200000	9.344200	2106.800000	9.261600	2179.200000	9.261600	2157.066667	9.024567
3	3108.673333	3005.500000	11.274500	3053.100000	11.425400	3220.800000	12.894800	3053.100000	11.425400	3093.133333	11.864900
4	4003.594444	3724.500000	30.945700	3782.700000	18.915700	3814.400000	21.712400	3782.700000	21.712400	3773.866667	23.857933
5	4898.515556	4201.700000	229.886900	4182.500000	226.229700	4278.200000	109.153500	4201.700000	226.229700	4220.800000	188.423367
6	5793.436667	4255.000000	378.955200	4231.500000	367.764800	4240.000000	381.238000	4240.000000	378.955200	4242.166667	375.986000
7	6688.357778	4252.100000	441.828200	4228.800000	427.791200	4287.400000	459.249000	4252.100000	441.828200	4256.100000	442.956133
8	7583.278889	4259.300000	487.024000	4284.300000	525.525500	4221.800000	545.859100	4259.300000	525.525500	4255.133333	519.469533
9	8478.200000	4244.300000	618.965800	4277.400000	609.248300	4155.900000	642.499000	4244.300000	618.965800	4225.866667	623.571033
